Step	Tr_loss	test_loss	f-1	precision	recall
700	-0.6891441941261292	-0.49798573763437676	0.8737245939107011	0.8862394436164928	0.8615582743077914
1400	-1.7133311033248901	-1.3834216049019719	0.8792795716371897	0.886326463853451	0.8723438506117193
2100	-2.4195849895477295	-2.2474078023937385	0.8791736728320922	0.8746216345387924	0.8837733419188667
2800	-4.195161819458008	-3.03308256579117	0.881687655410283	0.8786570743405275	0.8847392144236961
3500	-5.749359130859375	-3.925448998598985	0.8815462346619616	0.8783762186351286	0.8847392144236961
4200	-6.395288944244385	-4.76001761664807	0.8855489471146119	0.8842696629213483	0.8868319381841597
4900	-8.085817337036133	-5.476570048802335	0.8865498955487708	0.884985563041386	0.8881197681905988
5600	-8.369546890258789	-6.327133836880536	0.8900081234768481	0.8983273204329288	0.8818415969092079
6300	-8.532143592834473	-7.042119912698236	0.8905299034326057	0.8978890525282278	0.883290405666452
7000	-9.821163177490234	-7.779656477377448	0.8853652617102177	0.8899007968775411	0.8808757244043787
7700	-9.264036178588867	-8.52606277734461	0.8875340927322317	0.8845538855132715	0.8905344494526722
8400	-9.808752059936523	-9.317056642451757	0.88908707637425	0.8956223456386802	0.8826464906632324
9100	-11.793335914611816	-9.896390740300568	0.8857992445551717	0.8844487241213288	0.8871538956857695
9800	-11.241235733032227	-10.606887212941345	0.887292103988374	0.8900226757369615	0.8845782356728912
10500	-12.517630577087402	-11.28762149810791	0.8844189016602809	0.8771374287523749	0.8918222794591114
11200	-13.117923736572266	-11.94695615096831	0.8871264920291596	0.8829532769893159	0.8913393432066967
11900	-13.747654914855957	-12.597995032726878	0.8862959684557818	0.8860820595333869	0.8865099806825499
12600	-16.830123901367188	-13.23388671875	0.8906161444417456	0.8959113862192539	0.8853831294269157
13300	-14.070023536682129	-13.890332248848928	0.8915212981744421	0.8987403893342057	0.8844172569220863
14000	-14.939807891845703	-14.37211701567744	0.8930593755055816	0.8975609756097561	0.8886027044430135
14700	-15.68199348449707	-15.044380658109423	0.8897554634820051	0.8981466294899131	0.8815196394075981
15400	-17.87074851989746	-15.657435873864403	0.8882442994118122	0.8891756734957251	0.8873148744365744
