Step	Tr_loss	test_loss	f-1	precision	recall
1000	0	0.054014519958848685	0.8308234540211471	0.8268494897959183	0.834835801674179
2000	0	0.04345215261507202	0.8560349006301502	0.8592280246513136	0.8528654217643271
3000	0	0.043633156049419454	0.8653830790125429	0.8590007930214115	0.8718609143593046
4000	0	0.04041877661792325	0.8675577156743622	0.8731452796347627	0.8620412105602061
5000	0	0.03962751121168405	0.8752615483663286	0.8751206952043772	0.8754024468770122
6000	0	0.040255956928914705	0.8793270786153348	0.8836150845253576	0.8750804893754024
7000	0	0.043863593246525445	0.8813830638706579	0.8764724609996817	0.886349001931745
8000	0	0.04915943181693134	0.8832479180012813	0.8787444231994901	0.8877978106889891
9000	0	0.048951247156086106	0.8810346212547192	0.8792688792688793	0.8828074694140373
10000	0	0.04543115202547379	0.8809064609450337	0.8794929396662388	0.8823245331616226
11000	0	0.050736998798142016	0.8796013502652307	0.878330658105939	0.8808757244043787
12000	0	0.047415122258621205	0.8813559322033898	0.8880536035299885	0.8747585318737927
13000	0	0.05389800791064618	0.8772409357665407	0.8761843584390557	0.8783000643915003
14000	0	0.05456079629210519	0.8801350590883511	0.8790749959852256	0.8811976819059885
15000	0	0.05460476641818671	0.8870810283110967	0.8967105263157895	0.8776561493882807
16000	0	0.055591829134230046	0.8827028313109683	0.869939033922151	0.8958467482292337
17000	0	0.05520268382740692	0.8849357160184362	0.8890333062550771	0.8808757244043787
18000	0	0.05896454269040219	0.8833226632522407	0.8782622533418205	0.8884417256922086
19000	0	0.054919792903246174	0.8836465413834466	0.8779596376926744	0.889407598197038
20000	0	0.06227557069923676	0.8868078175895765	0.8973302570863546	0.8765292981326465
21000	0	0.06310109144837504	0.886180174362286	0.8887629533678757	0.8836123631680618
22000	0	0.06205571343151616	0.8894969818913481	0.889425398358281	0.8895685769478429
23000	0	0.06638770613452079	0.8910121457489878	0.8963831867057673	0.8857050869285255
24000	0	0.06052562404214076	0.8870695882494584	0.884584600608292	0.8895685769478429
25000	0	0.06449063772886572	0.8856592259515016	0.8835309195770586	0.8877978106889891
26000	0	0.0668498411459822	0.8874979939014606	0.8848	0.8902124919510624
27000	0	0.06358179981282479	0.8893762183235869	0.8975409836065574	0.8813586606567934
28000	0	0.06390011861500605	0.886945358260451	0.8841785314349704	0.8897295556986478
29000	0	0.07086275538928072	0.8856106408706167	0.8869691587275956	0.8842562781712814
30000	0	0.06539788703158708	0.8900712122452321	0.9054121565362199	0.8752414681262073
31000	0	0.07196285659578484	0.8861167002012074	0.8860453887011106	0.8861880231809401
32000	0	0.06819510921626024	0.8872832369942196	0.8850096092248558	0.8895685769478429
33000	0	0.06677336500249278	0.8837511154376572	0.8907604251839738	0.8768512556342563
34000	0	0.07064611307332214	0.8898058252427185	0.8944372153545869	0.8852221506761108
35000	0	0.07276358938133212	0.8901045856798069	0.8896751366999035	0.8905344494526722
36000	0	0.07260805664872619	0.8886200500040327	0.8904153871019881	0.8868319381841597
37000	0	0.07713487329827227	0.8901622145105318	0.892539245832659	0.8877978106889891
38000	0	0.08107210506855601	0.8894813378574892	0.8927992215374635	0.8861880231809401
39000	0	0.0797456713839316	0.8845047923322683	0.8777742549143944	0.8913393432066967
40000	0	0.07420773145703363	0.8915682149215083	0.8963553530751709	0.8868319381841597
41000	0	0.0773939597092464	0.891174089068826	0.8965461062235256	0.8858660656793304
42000	0	0.07658355045591442	0.8905156463679511	0.8900144717800289	0.8910173857050869
43000	0	0.07760661362972059	0.8887273901808785	0.8916072585871678	0.8858660656793304
44000	0	0.08119286512824851	0.8909295956178508	0.891647855530474	0.8902124919510624
45000	0	0.08198871007057983	0.8905392315143686	0.8931347150259067	0.8879587894397939
46000	0	0.0816342462064095	0.8924270589186132	0.8961207596169453	0.8887636831938184
47000	0	0.08362853028614756	0.8914965439639929	0.8902086677367577	0.8927881519639408
48000	0	0.08332452296056378	0.8933182698515171	0.8956310679611651	0.8910173857050869
49000	0	0.08302091442468301	0.8921118362742727	0.8930472656880142	0.8911783644558918
50000	0	0.08356112879241856	0.8911066398390343	0.8910349267664575	0.8911783644558918
