Step	Tr_loss	test_loss	f-1	precision	recall
1000	0	0.2553512197984776	0.8158436561244811	0.8055388922215557	0.8264154814004376
2000	0	0.2146332389871839	0.8405806979280261	0.8378396739130435	0.843339715536105
3000	0	0.2018527048574367	0.8524741160216284	0.8505735389223595	0.854383205689278
4000	0	0.1927241475229532	0.8591327560833705	0.8599862966769442	0.8582809080962801
5000	0	0.18229505388249814	0.8620619258251105	0.857916835974536	0.8662472647702407
6000	0	0.19131173718143518	0.8650817737312426	0.8533697026145965	0.8771198030634574
7000	0	0.18562124942390013	0.8683652165056949	0.8622619248272375	0.8745555251641138
8000	0	0.20261095653117542	0.8651061330648546	0.8494414604409003	0.881359409190372
9000	0	0.19889999055106874	0.8696947637508676	0.8613393246370008	0.8782138949671773
10000	0	0.19791024996781012	0.870302740707874	0.8687904599659284	0.871820295404814
11000	0	0.22102323426327236	0.8658872891535689	0.8570280317492214	0.8749316192560175
12000	0	0.20514011236143784	0.8719035588938436	0.8648212303656116	0.8791028446389497
13000	0	0.23053176470205816	0.8693684566024992	0.858868277058588	0.8801285557986871
14000	0	0.23333309359953436	0.8710023683358606	0.8681180586217437	0.8739059080962801
15000	0	0.2294405117421083	0.8713751089389771	0.8710327628027741	0.8717177242888403
16000	0	0.24785165593657696	0.8710075997359557	0.8624677370696879	0.8797182713347921
17000	0	0.2416927715842153	0.8724633740099936	0.8674214261574856	0.8775642778993435
18000	0	0.2633511377892024	0.8740343311204306	0.8681237141218928	0.8800259846827133
19000	0	0.2669891079126949	0.8727985005319058	0.8622426850832415	0.8836159737417943
20000	0	0.2631053779746445	0.874	0.8665972035493412	0.8815303610503282
21000	0	0.2757997372200791	0.8713466173325639	0.8651499831479609	0.8776326586433261
22000	0	0.28573627958835013	0.8718122856463717	0.865902192242833	0.8778036105032823
23000	0	0.2842206675821627	0.8730935251798562	0.8646193046568545	0.8817355032822757
24000	0	0.29314383507614405	0.8733636301973818	0.8663706096083973	0.8804704595185996
25000	0	0.2911423900177781	0.8726849474513025	0.8737917323644341	0.8715809628008753
26000	0	0.3016334278902537	0.8729445409049128	0.8692453725676317	0.8766753282275711
27000	0	0.3082430601959497	0.8738426912649833	0.8715689942518962	0.8761282822757112
28000	0	0.3123956950197757	0.8749107476794397	0.8700885913302225	0.8797866520787746
29000	0	0.31918053077140324	0.8754583127270247	0.8733285699703991	0.8775984682713348
30000	0	0.3186163734382307	0.8758283209297584	0.8705330000675539	0.8811884573304157
31000	0	0.32876484159012914	0.8725939195241073	0.8627234753550543	0.8826928336980306
32000	0	0.3310639820468258	0.8774864837294706	0.8727088265133581	0.8823167396061269
33000	0	0.332363560376033	0.8775565305433682	0.8663867786218846	0.8890180525164114
34000	0	0.33972351966609415	0.8762153189471188	0.8682443773078214	0.8843339715536105
35000	0	0.33927296060071865	0.8764451967837494	0.8679384450330238	0.8851203501094091
36000	0	0.3465816397482241	0.8774792229643602	0.8723936331992835	0.8826244529540481
37000	0	0.3441398278088637	0.8771535580524343	0.8735250237352502	0.8808123632385121
38000	0	0.3479336067824296	0.8782922757163788	0.8752801358234296	0.8813252188183808
39000	0	0.3535951785218548	0.8784906432848297	0.8766213869880503	0.8803678884026258
40000	0	0.3587354610503559	0.8770799236224768	0.8746939608269858	0.8794789387308534
41000	0	0.35821853389202707	0.8782741634109055	0.8727297279049355	0.8838894967177243
42000	0	0.3585175930614203	0.8778163501463482	0.8738311424312237	0.8818380743982495
43000	0	0.3589109501368563	0.8796352997210315	0.8752877454299255	0.8840262582056893
44000	0	0.3628888344261008	0.8790508174084998	0.8765851834222963	0.8815303610503282
45000	0	0.368537231650151	0.8782985963419823	0.8741490838893217	0.8824876914660832
46000	0	0.3679618713721423	0.8789161439475072	0.8739984448426248	0.8838894967177243
47000	0	0.3703466103950017	0.8799073853382818	0.8762970498474059	0.8835475929978118
48000	0	0.37127788134024176	0.8806274883451867	0.8764817449027975	0.8848126367614879
49000	0	0.373269753976607	0.8809730373394573	0.876663168229678	0.8853254923413567
50000	0	0.3742348371257245	0.8809637242224189	0.876845955832543	0.8851203501094091
