Step	Tr_loss	test_loss	f-1	precision	recall
700	-0.2815698981285095	-0.10762709463146371	0.8620063549704948	0.8328947368421052	0.8932267168391346
1400	-0.7597209811210632	-0.38742821527199006	0.8726187743860455	0.8520842671447781	0.894167450611477
2100	-0.6688686609268188	-0.5908104355486345	0.8687572590011615	0.8581918311151905	0.8795860771401693
2800	-1.155969500541687	-0.9425964376456301	0.877092300334768	0.892023346303502	0.8626528692380057
3500	-1.707354187965393	-1.1802010540391359	0.8750600672753484	0.8944007858546169	0.8565380997177798
4200	-1.5921894311904907	-1.3786701157059469	0.8734378550329471	0.8448351648351649	0.9040451552210724
4900	-1.8039551973342896	-1.7104559733834066	0.8780148423005565	0.8659652333028363	0.8904045155221072
5600	-2.331943988800049	-1.9869128801453282	0.8790643274853802	0.8743601675197766	0.8838193791157103
6300	-2.0956220626831055	-2.240349336409233	0.8796208530805687	0.8863419293218721	0.8730009407337723
7000	-2.446638345718384	-2.487304939350612	0.8817559594052395	0.8848886783514922	0.878645343367827
7700	-3.4859390258789062	-2.6835661454939506	0.8829812485164965	0.8912314326784858	0.8748824082784572
8400	-4.163878440856934	-2.906837379428702	0.8806327900287632	0.8978494623655914	0.8640639698965192
9100	-4.219573974609375	-3.1983572479704736	0.8860515538424476	0.9081481481481481	0.8650047036688617
9800	-3.723435163497925	-3.482555950191659	0.8887823585810163	0.906158357771261	0.8720602069614299
10500	-3.800666570663452	-3.681818040323929	0.8833136094674556	0.8889947594092424	0.8777046095954845
11200	-6.290362358093262	-3.910285513165971	0.888623326959847	0.9033041788143829	0.874412041392286
11900	-4.400795936584473	-4.109441839473348	0.8890452732817264	0.886757136172204	0.8913452492944497
12600	-3.971280097961426	-4.322941921126675	0.8910042836744407	0.9017341040462428	0.8805268109125117
13300	-4.417984962463379	-4.568463029995771	0.8928914505283381	0.9121687929342492	0.874412041392286
14000	-4.0793561935424805	-4.751877512730343	0.8836416747809153	0.9157416750756812	0.8537158984007526
14700	-4.988707542419434	-4.990657789606444	0.88743961352657	0.9121151936444886	0.8640639698965192
15400	-6.208059310913086	-5.1361869590383185	0.8831293496520278	0.9015188633023028	0.8654750705550329
16100	-5.005923271179199	-3.904650584073134	0.7871612733491187	0.8931343283582089	0.7036688617121355
16800	-5.8151774406433105	-5.438636799933205	0.8780138457865839	0.8914202617547261	0.8650047036688617
17500	-4.268204689025879	-2.950676220823342	0.6115853658536585	0.8691507798960139	0.4717779868297272
18200	-4.662949562072754	-5.563196729606306	0.8765609990393852	0.8954857703631011	0.8584195672624647
18900	-5.66890811920166	-5.816525177216866	0.8769083969465649	0.8896418199419167	0.8645343367826905
19600	-5.144099235534668	-5.6732071100826	0.851685923131337	0.8539007092198582	0.8494825964252116
20300	-3.824185371398926	-4.910591810521945	0.80450563204005	0.8598180845371857	0.7558795860771401
21000	-6.366394996643066	-5.550640143139262	0.8404726735598228	0.8817148760330579	0.8029162746942615
21700	-6.73183536529541	-5.915712940860802	0.8581765557163531	0.8806930693069307	0.8367826904985889
22400	-5.15882682800293	-5.445493233035988	0.8355889724310777	0.89431330472103	0.784101599247413
23100	-7.998077392578125	-5.650370433296956	0.8283418553688824	0.8586572438162544	0.8000940733772343
23800	-7.725865840911865	-6.714139102210461	0.8823529411764706	0.8973735408560312	0.867826904985889
24500	-7.956100940704346	-6.863105182916346	0.8854069223573433	0.8804651162790698	0.8904045155221072
25200	-8.87131118774414	-6.9709282559408265	0.8861538461538462	0.8918532634587899	0.8805268109125117
25900	-6.336835861206055	-7.209456873611665	0.8851913477537438	0.8947621335896204	0.8758231420507996
26600	-6.646981716156006	-7.298516669743497	0.8814762242725337	0.8867206092336982	0.8762935089369709
27300	-3.224977731704712	-3.766578681452174	0.7131352402110525	0.8705084745762712	0.6039510818438382
