Step	Tr_loss	test_loss	f-1	precision	recall
700	-1.0635135173797607	-1.231111570143364	0.796480878763222	0.7898399677245831	0.803234409190372
1400	-5.921770095825195	-5.927174440571959	0.8257996208951656	0.8249121490225513	0.8266890043763676
2100	-10.533180236816406	-10.196632969547325	0.834538970962812	0.8289926455704744	0.8401600109409191
2800	-13.499780654907227	-14.24955632653035	0.8431651749389747	0.8361350188273265	0.8503145514223195
3500	-18.62994956970215	-18.08523337941774	0.8487633832065226	0.8451238941052845	0.8524343544857768
4200	-23.534976959228516	-21.739784092970297	0.8494389606006919	0.8385581503814505	0.8606058533916849
4900	-27.737403869628906	-25.27640334653183	0.8518487124281621	0.8448165708329131	0.8589989059080962
5600	-30.92163848876953	-28.750419240602305	0.852371092026206	0.846309403437816	0.8585202407002188
6300	-34.09455108642578	-32.02083496308663	0.8518618456556935	0.8405218317358892	0.8635120350109409
7000	-35.80386734008789	-35.224519649022064	0.8537343869487637	0.848700881846133	0.85882795404814
7700	-40.33449172973633	-38.33053895117531	0.8554753964472878	0.8514767646660344	0.859511761487965
8400	-46.85405731201172	-41.32549935999051	0.8536977220070691	0.8446273801157849	0.8629649890590809
9100	-47.537933349609375	-44.253451038414326	0.8531649447687778	0.8494492458905271	0.8569132932166302
9800	-49.70185470581055	-47.06916132107587	0.8531640453979052	0.8405667263919304	0.8661446936542669
10500	-54.15479278564453	-49.73387919681173	0.8540573376305621	0.8431450941196068	0.8652557439824945
11200	-54.57539367675781	-52.437884263589346	0.8548827892923222	0.8489026733641236	0.8609477571115973
11900	-55.734378814697266	-54.99236990700305	0.8554745019718024	0.8470588235294118	0.8640590809628009
12600	-59.0701789855957	-57.38587382141973	0.8540706605222734	0.8434634748107892	0.8649480306345733
13300	-59.327293395996094	-59.800731229110504	0.8562520122684831	0.8488157231647908	0.8638197483588621
14000	-63.34856414794922	-62.136710637052296	0.854244762954796	0.847645336116067	0.8609477571115973
14700	-69.466796875	-64.29247230207416	0.854533152909337	0.845607927155865	0.8636487964989059
15400	-64.98865509033203	-66.43381693665411	0.8554106378642755	0.8498110406262653	0.8610845185995624
16100	-73.97926330566406	-68.44264882047412	0.854472765304229	0.8433056970665601	0.8659395514223195
16800	-73.53547668457031	-70.3774320575553	0.85534974202825	0.8464860883249071	0.8644009846827133
17500	-72.52752685546875	-72.23509619269572	0.8558749301309303	0.8480749219562955	0.8638197483588621
18200	-78.47834777832031	-73.97852078290053	0.854689876626669	0.8450638326315086	0.8645377461706784
18900	-72.62738037109375	-75.71165025737923	0.8558694436441898	0.8484929941870233	0.8633752735229759
19600	-77.74176788330078	-77.26626893164406	0.854868154158215	0.8453797806900241	0.8645719365426696
20300	-88.03466796875	-78.78242197171063	0.8563365915852104	0.8515738580653887	0.8611528993435449
21000	-84.00343322753906	-80.16850554775185	0.8554351129571471	0.8450196810994729	0.8661105032822757
21700	-89.57313537597656	-81.48299843156842	0.8556929478830116	0.846797683216713	0.8647770787746171
22400	-81.90519714355469	-82.6838382667219	0.8563305919382678	0.8477517925350131	0.8650847921225383
23100	-96.50578308105469	-83.88617104543766	0.8570702363805811	0.8495985487284576	0.8646745076586433
23800	-89.50352478027344	-84.88659007112744	0.8566152177964522	0.8490344248530647	0.8643326039387309
24500	-83.74554443359375	-85.82858426805953	0.8566888671016599	0.8472082915412905	0.8663840262582057
25200	-94.56639099121094	-86.69187884263589	0.856630460528542	0.8478799651684641	0.8655634573304157
25900	-93.45357513427734	-87.48721587490029	0.8577329360780065	0.8494501072961373	0.8661788840262582
26600	-94.35800170898438	-88.16361161352883	0.8567458098191741	0.8493901004738063	0.8642300328227571
27300	-90.634765625	-88.80896227124711	0.8568179117652052	0.8508242591781007	0.8628966083150985
28000	-89.13471221923828	-89.31018780990385	0.8570461163404889	0.8488262910798122	0.8654266958424508
28700	-96.85297393798828	-89.70862337569116	0.8576411228878127	0.8495002347890253	0.8659395514223195
29400	-93.4393310546875	-90.0440687797439	0.8577376116978066	0.8492292225201072	0.8664182166301969
30100	-99.58403015136719	-90.29001730260714	0.8585516283167847	0.8510245213301982	0.8662130743982495
30800	-95.104248046875	-90.46106988611356	0.857805621401964	0.8496913994364685	0.8660763129102844
31500	-86.39617156982422	-90.53304269280233	0.857510584250635	0.8495402993087712	0.8656318380743983
