Step	Tr_loss	test_loss	f-1	precision	recall
700	-1.5478413105010986	-1.5864195194042905	0.8090303102260971	0.8027533743983305	0.815406181619256
1400	-6.514403343200684	-6.3531283727833925	0.836465973051339	0.8345585732761555	0.8383821115973742
2100	-10.677270889282227	-10.512930614847532	0.84645386431284	0.8470044505306402	0.8459039934354485
2800	-14.880202293395996	-14.422962860322334	0.8509003111556969	0.8463385760189414	0.8555114879649891
3500	-18.56951141357422	-18.119108226937307	0.8532361911216537	0.8457275292220878	0.8608793763676149
4200	-24.217632293701172	-21.615684468981247	0.8555465258025192	0.8473973705393077	0.8638539387308534
4900	-25.562908172607422	-24.98831802690533	0.8545645401598267	0.8464247383954924	0.8628624179431073
5600	-30.288467407226562	-28.229529152453786	0.8556213218459033	0.8488978630321387	0.8624521334792122
6300	-31.92445945739746	-31.345836773724624	0.8574690705838248	0.854759801589998	0.8601955689277899
7000	-37.359928131103516	-34.33061685696454	0.8574971125755826	0.8519981098960443	0.8630675601750547
7700	-38.50700378417969	-37.201309042917174	0.8561818367138926	0.8508339523262881	0.861597374179431
8400	-41.3181037902832	-39.979520985777945	0.8573800769269871	0.8498773892304075	0.8650164113785558
9100	-45.902435302734375	-42.5740656785562	0.85969673326775	0.8530124537192865	0.8664865973741794
9800	-48.14804458618164	-45.09921055108729	0.8591367541685061	0.8533697632058288	0.8649822210065645
10500	-55.435176849365234	-47.50104785972918	0.8576552190830654	0.8488379880784944	0.8666575492341356
11200	-49.20314025878906	-49.68505956085635	0.858813785643054	0.8492395119505265	0.8686064004376368
11900	-53.44181823730469	-51.82736818555375	0.857836279979101	0.845903274056839	0.8701107768052516
12600	-58.256202697753906	-53.8576483927982	0.8588518367900231	0.8513504434291858	0.8664865973741794
13300	-59.71458435058594	-55.78592595919757	0.8586392759076579	0.8513949579831933	0.866007932166302
14000	-65.9047622680664	-57.615582049732474	0.8600763682647434	0.8538598914984669	0.8663840262582057
14700	-61.8486328125	-59.22594086553009	0.8591515970931216	0.8494753024530446	0.869050875273523
15400	-64.70305633544922	-60.7313359220263	0.8589181410310675	0.8507227420598987	0.8672729759299781
16100	-64.50637817382812	-62.1316279021787	0.8596440726755508	0.8515548995269885	0.8678884026258206
16800	-66.0029296875	-63.44037590564137	0.8591971037539544	0.8503499313531795	0.8682303063457331
17500	-66.0551528930664	-64.6514455768424	0.8597097911581232	0.8525416890801506	0.8669994529540481
18200	-72.44358825683594	-65.67458472453373	0.8589129441237706	0.8505481243085588	0.8674439277899344
18900	-68.55120849609375	-66.58589800982408	0.8596093300382547	0.8512236004022796	0.8681619256017505
19600	-70.48947143554688	-67.38795546410789	0.8604647221327728	0.8531339270710805	0.8679225929978118
20300	-76.2435073852539	-68.09082514803174	0.8607217316134719	0.8534740663551716	0.868093544857768
21000	-69.97744750976562	-68.6264787593358	0.8597633336723968	0.8526800726343399	0.8669652625820569
21700	-73.44093322753906	-69.06149480040644	0.8602307184117357	0.8524760785630351	0.8681277352297593
22400	-77.66388702392578	-69.39396774936729	0.8597216107291632	0.8516741595651882	0.8679225929978118
23100	-72.36309051513672	-69.56470500247579	0.8595906066403672	0.8514170719436526	0.8679225929978118
23800	-71.06985473632812	-69.64004145877462	0.859961020252521	0.8526061094868435	0.8674439277899344
