Step	Tr_loss	test_loss	f-1	precision	recall
700	-1.5478413105010986	-1.5864195194042905	0.10285089052337246	0.4630541871921182	0.05785010940919037
1400	-6.514403343200684	-6.3531283727833925	0.10680736854946932	0.49463276836158193	0.05986734135667396
2100	-10.677270889282227	-10.512930614847532	0.10776428855386685	0.5102809151462496	0.06024343544857768
2800	-14.880202293395996	-14.422962860322334	0.10837348295419895	0.5011280315848844	0.06075629102844639
3500	-18.56951141357422	-18.119108226937307	0.10939827905986804	0.49409502883823125	0.06150847921225383
4200	-24.217632293701172	-21.615684468981247	0.10985401459854013	0.4972466960352423	0.06174781181619256
4900	-25.562908172607422	-24.98831802690533	0.10859645920788466	0.4922779922779923	0.06102981400437637
5600	-30.288467407226562	-28.229529152453786	0.10939973213198587	0.4986126526082131	0.06144009846827134
6300	-31.92445945739746	-31.345836773724624	0.1083833978835656	0.501552356759808	0.06075629102844639
7000	-37.359928131103516	-34.33061685696454	0.10983661423312137	0.4987565625863498	0.06171362144420131
7700	-38.50700378417969	-37.201309042917174	0.10879298266987483	0.49818688981868897	0.061064004376367616
8400	-41.3181037902832	-39.979520985777945	0.10923704560677099	0.49861033907726515	0.06133752735229759
9100	-45.902435302734375	-42.5740656785562	0.10975906546605013	0.4977924944812362	0.061679431072210064
9800	-48.14804458618164	-45.09921055108729	0.10897005914994816	0.5033802816901408	0.06109819474835886
10500	-55.435176849365234	-47.50104785972918	0.11023286921627046	0.4972572682391662	0.06198714442013129
11200	-49.20314025878906	-49.68505956085635	0.11023574144486693	0.49958643507030603	0.061952954048140045
11900	-53.44181823730469	-51.82736818555375	0.11042534431911466	0.4984902552841065	0.06208971553610503
12600	-58.256202697753906	-53.8576483927982	0.10970746704818726	0.5001387732445185	0.06161105032822757
13300	-59.71458435058594	-55.78592595919757	0.10992821511132742	0.4980705622932745	0.061782002188183804
14000	-65.9047622680664	-57.615582049732474	0.10923269060891286	0.5006981290142418	0.06130333698030634
14700	-61.8486328125	-59.22594086553009	0.11003590773537826	0.5002767017155506	0.06181619256017506
15400	-64.70305633544922	-60.7313359220263	0.11008001947241915	0.4998618402873722	0.061850382932166305
16100	-64.50637817382812	-62.1316279021787	0.10964658610087973	0.49986122675548156	0.061576859956236324
16800	-66.0029296875	-63.44037590564137	0.10954902318787658	0.49806308799114557	0.06154266958424508
17500	-66.0551528930664	-64.6514455768424	0.10905105489085762	0.49763823284245623	0.06123495623632385
18200	-72.44358825683594	-65.67458472453373	0.10971157356699525	0.49806629834254146	0.06164524070021882
18900	-68.55120849609375	-66.58589800982408	0.11016485187663481	0.49889807162534433	0.0619187636761488
19600	-70.48947143554688	-67.38795546410789	0.11011741802032	0.4991726420297849	0.06188457330415755
20300	-76.2435073852539	-68.09082514803174	0.10955817423342772	0.5006957973838019	0.06150847921225383
21000	-69.97744750976562	-68.6264787593358	0.10907097835023294	0.49846924575563595	0.06123495623632385
21700	-73.44093322753906	-69.06149480040644	0.10946727549467275	0.4991671293725708	0.061474288840262584
22400	-77.66388702392578	-69.39396774936729	0.10983257229832571	0.5008328706274292	0.061679431072210064
23100	-72.36309051513672	-69.56470500247579	0.10986001217285454	0.4997231450719823	0.06171362144420131
23800	-71.06985473632812	-69.64004145877462	0.10970412760258128	0.5	0.06161105032822757
